1,"PORTLAND, ME"
2,"ST. ALBANS, VT"
4,"BOSTON, MA"
5,"PROVIDENCE, RI"
7,"OGDENSBURG, NY"
9,"BUFFALO, NY"
10,"NEW YORK CITY, NY"
11,"PHILADELPHIA, PA"
13,"BALTIMORE, MD"
14,"NORFOLK, VA"
15,"CHARLOTTE, NC"
16,"CHARLESTON, SC"
17,"SAVANNAH, GA"
18,"TAMPA, FL"
19,"MOBILE, AL"
20,"NEW ORLEANS, LA"
21,"PORT ARTHUR, TX"
23,"LAREDO, TX"
24,"EL PASO, TX"
25,"SAN DIEGO, CA"
26,"NOGALES, AZ"
27,"LOS ANGELES, CA"
28,"SAN FRANCISCO, CA"
29,"COLUMBIA-SNAKE, OR"
30,"SEATTLE, WA"
31,"ANCHORAGE, AK"
32,"HONOLULU, HI"
33,"GREAT FALLS, MT"
34,"PEMBINA, ND"
35,"MINNEAPOLIS, MN"
36,"DULUTH, MN"
37,"MILWAUKEE, WI"
38,"DETROIT, MI"
39,"CHICAGO, IL"
41,"CLEVELAND, OH"
45,"ST LOUIS, MO"
46,"NEWARK, NJ"
47,"JAMAICA, NY"
49,"SAN JUAN, PR"
51,VIRGIN ISLANDS OF THE UNITED STATES
52,"MIAMI, FL"
53,"HOUSTON-GALVESTON, TX"
54,"WASHINGTON, DC"
55,"DALLAS/FT. WORTH, TX"
60,VESSELS UNDER THEIR OWN POWER (IMPORTS AND EXPORTS)
70,LOW-VALUED IMPORTS AND EXPORTS
80,MAIL SHIPMENTS (EXPORT ONLY)
101,"PORTLAND, ME"
102,"BANGOR, ME"
103,"EASTPORT, ME"
104,"JACKMAN, ME"
105,"VANCEBORO, ME"
106,"HOULTON, ME"
107,"FORT FAIRFIELD, ME"
108,"VAN BUREN, ME"
109,"MADAWASKA, ME"
110,"FORT KENT, ME"
111,"BATH, ME"
112,"BAR HARBOR, ME"
115,"CALAIS, ME"
118,"LIMESTONE, ME"
121,"ROCKLAND, ME"
122,"JONESPORT, ME"
127,"BRIDGEWATER, ME"
131,"PORTSMOUTH, NH"
132,"BELFAST, ME"
152,"SEARSPORT, ME"
182,"MANCHESTER USER FEE AIRPORT, NH"
201,"ST. ALBANS, VT"
203,"RICHFORD, VT"
206,"BEECHER FALLS, VT"
207,"BURLINGTON, VT"
209,"DERBY LINE, VT"
211,"NORTON, VT"
212,"HIGHGATE SPRINGS/ALBURG, VT"
401,"BOSTON, MA"
402,"SPRINGFIELD, MA"
403,"WORCESTER, MA"
404,"GLOUCESTER, MA"
405,"NEW BEDFORD, MA"
406,"PLYMOUTH, MA"
407,"FALL RIVER, MA"
408,"SALEM, MA"
410,"BRIDGEPORT,CT"
411,HARTFORD. CT
412,"NEW HAVEN,CT"
413,"NEW LONDON, CT"
416,"LAWRENCE, MA"
417,"LOGAN AIRPORT, MA"
481,"L.G. HANSCOM FIELD, MA"
501,"NEWPORT, RI"
502,"PROVIDENCE, RI"
503,"MELLVILLE, RI"
701,"OGDENSBURG, NY"
704,"MASSENA, NY"
706,"CAPE VINCENT, NY"
708,"ALEXANDRIA BAY, NY"
712,"CHAMPLAIN-ROUSES POINT, NY"
714,"CLAYTON, NY"
715,"TROUT RIVER, NY"
901,"BUFFALO-NIAGARA FALLS, NY"
903,"ROCHESTER, NY"
904,"OSWEGO, NY"
905,"SODUS POINT, NY"
906,"SYRACUSE, NY"
981,"BINGHAMTON REGIONAL AIRPORT, NY"
983,"ITHACA TOMPKINS INTL AIR, ITHACA, NY"
1001,"NEW YORK, NY"
1002,"ALBANY, NY"
1101,"PHILADELPHIA, PA"
1102,"CHESTER, PA"
1103,"WILMINGTON, DE"
1104,"PITTSBURGH, PA"
1105,"PAULSBORO, NJ"
1106,"WILKES-BARRE/SCRANTON, PA"
1107,"CAMDEN, NJ"
1108,"PHILA. INTL. AIRPORT, PA"
1109,"HARRISBURG, PA"
1113,"GLOUCESTER CITY, NJ"
1119,"ALLENTOWN, PA (LEHIGH VALLEY INTL AIRPT)"
1182,"ATLANTIC CITY REGIONAL AIRPORT, NJ"
1183,"TRENTON/MERCER COUNTY AIRPORT, NJ"
1195,"UPS, PHILADELPHIA, PA"
1301,"ANNAPOLIS, MD"
1302,"CAMBRIDGE, MD"
1303,"BALTIMORE, MD"
1304,"CRISFIELD, MD"
1305,"BWI INTERNATIONAL AIRPORT, MD"
1401,"NORFOLK-NEWPORT NEWS, VA"
1404,"RICHMOND-PETERSBURG, VA"
1409,"CHARLESTON, WV"
1410,"FRONT ROYAL, VA"
1412,"NEW RIVER VALLEY, VA"
1501,"WILMINGTON, NC"
1502,"WINSTON-SALEM, NC"
1503,"DURHAM, NC"
1511,"BEAUFORT-MOREHEAD CTY,NC"
1512,"CHARLOTTE, NC"
1601,"CHARLESTON, SC"
1602,"GEORGETOWN, SC"
1603,"GREENVILLE-SPARTANBRG, SC"
1604,"COLUMBIA, SC"
1681,"MYRTLE BEACH INTL AIRPORT, SC"
1701,"BRUNSWICK, GA"
1703,"SAVANNAH, GA"
1704,"ATLANTA, GA"
1801,"TAMPA, FL"
1803,"JACKSONVILLE, FL"
1805,"FERNANDINA BEACH, FL"
1807,"BOCA GRANDE, FL"
1808,"ORLANDO, FL"
1809,"ORLANDO-SANFORD AIRPORT, FL"
1814,"ST. PETERSBURG, FL"
1816,"PORT CANAVERAL, FL"
1818,"PANAMA CITY, FL"
1819,"PENSACOLA, FL"
1821,"PORT MANATEE, FL"
1822,"FORT MYERS AIRPORT, FL"
1880,"NAPLES MUNICIPAL USER FEE AIRP, FL"
1883,"SARASOTA BRADENTON ARPT, FL"
1884,"DAYTONA BEACH INT'L ARPT, FL"
1885,"MELBOURNE REGIONAL AIRPORT, FL"
1887,"LEESBURG REGIONAL AIRP, LEESBURG, FL"
1888,"ORLANDO EXECUTIVE AIRPORT, FL"
1889,"ST. AUGUSTINE AIRPORT, FL"
1901,"MOBILE, AL"
